1 5540883.974 7501304.251 100.00
2 5544653.338 7501989.823 101.00
3 5548638.675 7501690.090 102.00
4 5551573.724 7501718.971 103.00
5 5555466.448 7501509.210 104.00
6 5558803.270 7501885.332 105.00
7 5540977.765 7503683.699 106.00
8 5544932.500 7503979.439 107.00
9 5547867.289 7503678.933 108.00
10 5551852.878 7503845.129 109.00
11 5555467.513 7503693.592 110.00
12 5558495.534 7504068.584 111.00
13 5540887.496 7506282.309 112.00
14 5544656.994 7506566.415 113.00
15 5548024.389 7506442.971 114.00
16 5552504.124 7506397.835 115.00
17 5555778.924 7506314.484 116.00
18 5558559.796 7506549.351 117.00
19 5540983.194 7508472.507 118.00
20 5544815.265 7509152.920 119.00
21 5548491.253 7508848.375 120.00
22 5552034.232 7508872.301 121.00
23 5555689.525 7508657.745 122.00
24 5558903.271 7509029.590 123.00
25 5540771.220 7510852.415 124.00
26 5544881.711 7511560.402 125.00
27 5548495.816 7511274.220 126.00
28 5552017.621 7511157.504 127.00
29 5555755.673 7511020.624 128.00
30 5558753.788 7511609.808 129.00
