1 239382.6473 644577.0195 100.00
2 243167.6185 645161.3032 101.00
3 247142.0552 644755.1646 102.00
4 250075.7519 644705.4659 103.00
5 253960.0364 644391.6188 104.00
6 257304.5141 644678.0731 105.00
7 239539.9822 646952.2479 106.00
8 243499.7968 647142.0226 107.00
9 246424.4451 646763.2169 108.00
10 250411.6253 646822.6183 109.00
11 254019.6087 646574.3951 110.00
12 257055.5023 646867.9965 111.00
13 239519.2490 649551.4239 112.00
14 243293.6825 649734.5295 113.00
15 246655.3957 649521.0832 114.00
16 251130.7526 649356.0692 115.00
17 254401.0000 649185.0755 116.00
18 257186.1930 649345.2725 117.00
19 239673.4339 651737.5250 118.00
20 243521.0265 652314.9866 119.00
21 247186.3011 651912.3030 120.00
22 250727.4438 651841.3749 121.00
23 254374.4320 651529.0794 122.00
24 257595.8894 651814.5602 123.00
25 239525.2337 654121.4474 124.00
26 243651.8241 654719.0235 125.00
27 247255.7807 654336.3411 126.00
28 250772.0286 654125.4337 127.00
29 254503.8283 653888.5403 128.00
30 257515.6550 654396.9892 129.00
